,Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago,User
116,-0.0516,Wed Dec 27 10:37:13 +0000 2017,0.721,0.144,0.135,This photographer has traveled across the United States taking mesmerizing pictures of abandoned drive-in movie the… https://t.co/PSA4j90l1L,17,CNN
117,0.0,Wed Dec 27 10:25:29 +0000 2017,1.0,0.0,0.0,"A Tokyo-bound flight, with Chrissy Teigen and John Legend onboard, returned to Los Angeles after the crew found tha… https://t.co/8BNty0muQo",18,CNN
118,0.4019,Wed Dec 27 10:14:21 +0000 2017,0.863,0.0,0.137,Elon Musk is promising to make an electric pickup -- repeating a pledge he first made in 2013… https://t.co/veZfMwvCXv,19,CNN
119,0.0,Wed Dec 27 10:01:02 +0000 2017,1.0,0.0,0.0,Here's a rare look inside apartment buildings where North Korean factory workers live https://t.co/R8nnuKQ3qz https://t.co/m8YpSf6hjI,20,CNN
120,0.0,Wed Dec 27 09:49:02 +0000 2017,1.0,0.0,0.0,"In a BBC interview with Prince Harry, former US President Barack Obama urges people in leadership positions not to… https://t.co/81bUCmO8gl",21,CNN
121,-0.7184,Wed Dec 27 09:37:49 +0000 2017,0.575,0.345,0.08,An Argentine prosecutor who accused top government officials of a cover-up in the country's deadliest terror attack… https://t.co/rRAiuz1L5n,22,CNN
122,0.4019,Wed Dec 27 09:26:38 +0000 2017,0.816,0.0,0.184,"This street in Okayama, Japan is devoted to denim https://t.co/CTywUDYk9M via @CNNStyle https://t.co/OJWl07nUY2",23,CNN
123,0.5106,Wed Dec 27 09:13:12 +0000 2017,0.784,0.0,0.216,A North Carolina family comes to the rescue on Christmas Eve. Twice. https://t.co/AtPGO5ESgg https://t.co/QARs60fQeL,24,CNN
124,-0.3182,Wed Dec 27 09:00:13 +0000 2017,0.887,0.113,0.0,"Evacuations of the first critical medical cases from a rebel-held region east of Damascus in Syria have begun, aid… https://t.co/X21sZgQds1",25,CNN
125,-0.5267,Wed Dec 27 08:49:31 +0000 2017,0.812,0.188,0.0,"The trial of a Chinese human rights activist, who was sentenced to eight years in prison on Christmas Day, sheds li… https://t.co/tE0hODohO4",26,CNN
126,0.0,Wed Dec 27 08:34:41 +0000 2017,1.0,0.0,0.0,How Chinese start-ups are disrupting the electric supercar market https://t.co/uKKW9Qofsd https://t.co/r0D6cNNiXh,27,CNN
127,0.0,Wed Dec 27 08:22:58 +0000 2017,1.0,0.0,0.0,"The wildfires in California just keep shattering records this year, with costs topping $10 billion https://t.co/r6BFpAvtG1",28,CNN
